order_id,customer_id,order_date,total_amount,status,items
11,313,2025-05-12 11:49:09.941079,3892.95,Completed,"[{'product_id': np.int64(275), 'quantity': 5, 'unit_price': np.float64(111.39), 'item_total': np.float64(556.95)}, {'product_id': np.int64(200), 'quantity': 2, 'unit_price': np.float64(832.97), 'item_total': np.float64(1665.94)}, {'product_id': np.int64(102), 'quantity': 2, 'unit_price': np.float64(835.03), 'item_total': np.float64(1670.06)}]"
12,158,2025-05-14 11:49:09.942073,9147.06,Cancelled,"[{'product_id': np.int64(364), 'quantity': 3, 'unit_price': np.float64(921.72), 'item_total': np.float64(2765.16)}, {'product_id': np.int64(234), 'quantity': 2, 'unit_price': np.float64(239.54), 'item_total': np.float64(479.08)}, {'product_id': np.int64(71), 'quantity': 9, 'unit_price': np.float64(478.78), 'item_total': np.float64(4309.0199999999995)}, {'product_id': np.int64(462), 'quantity': 2, 'unit_price': np.float64(796.9), 'item_total': np.float64(1593.8)}]"
13,627,2025-03-26 11:49:09.944074,9699.72,Completed,"[{'product_id': np.int64(48), 'quantity': 8, 'unit_price': np.float64(282.89), 'item_total': np.float64(2263.12)}, {'product_id': np.int64(208), 'quantity': 1, 'unit_price': np.float64(704.62), 'item_total': np.float64(704.62)}, {'product_id': np.int64(149), 'quantity': 7, 'unit_price': np.float64(680.26), 'item_total': np.float64(4761.82)}, {'product_id': np.int64(148), 'quantity': 3, 'unit_price': np.float64(568.32), 'item_total': np.float64(1704.96)}, {'product_id': np.int64(356), 'quantity': 10, 'unit_price': np.float64(26.52), 'item_total': np.float64(265.2)}]"
14,456,2025-05-18 11:49:09.944074,139.7,Completed,"[{'product_id': np.int64(116), 'quantity': 2, 'unit_price': np.float64(69.85), 'item_total': np.float64(139.7)}]"
15,538,2025-01-31 11:49:09.945071,4977.14,Pending,"[{'product_id': np.int64(429), 'quantity': 7, 'unit_price': np.float64(129.53), 'item_total': np.float64(906.71)}, {'product_id': np.int64(3), 'quantity': 9, 'unit_price': np.float64(452.27), 'item_total': np.float64(4070.43)}]"
16,593,2025-10-09 11:49:09.946077,3867.54,Pending,"[{'product_id': np.int64(449), 'quantity': 5, 'unit_price': np.float64(131.3), 'item_total': np.float64(656.5)}, {'product_id': np.int64(208), 'quantity': 4, 'unit_price': np.float64(704.62), 'item_total': np.float64(2818.48)}, {'product_id': np.int64(82), 'quantity': 2, 'unit_price': np.float64(196.28), 'item_total': np.float64(392.56)}]"
17,779,2025-11-02 11:49:09.947976,15248.04,Pending,"[{'product_id': np.int64(288), 'quantity': 9, 'unit_price': np.float64(985.63), 'item_total': np.float64(8870.67)}, {'product_id': np.int64(401), 'quantity': 8, 'unit_price': np.float64(17.89), 'item_total': np.float64(143.12)}, {'product_id': np.int64(227), 'quantity': 3, 'unit_price': np.float64(724.77), 'item_total': np.float64(2174.31)}, {'product_id': np.int64(209), 'quantity': 1, 'unit_price': np.float64(597.88), 'item_total': np.float64(597.88)}, {'product_id': np.int64(287), 'quantity': 6, 'unit_price': np.float64(577.01), 'item_total': np.float64(3462.06)}]"
18,872,2024-11-30 11:49:09.949079,795.3,Cancelled,"[{'product_id': np.int64(406), 'quantity': 5, 'unit_price': np.float64(159.06), 'item_total': np.float64(795.3)}]"
19,137,2025-08-08 11:49:09.951084,8845.74,Cancelled,"[{'product_id': np.int64(253), 'quantity': 8, 'unit_price': np.float64(149.94), 'item_total': np.float64(1199.52)}, {'product_id': np.int64(198), 'quantity': 4, 'unit_price': np.float64(953.47), 'item_total': np.float64(3813.88)}, {'product_id': np.int64(246), 'quantity': 2, 'unit_price': np.float64(398.62), 'item_total': np.float64(797.24)}, {'product_id': np.int64(83), 'quantity': 1, 'unit_price': np.float64(727.06), 'item_total': np.float64(727.06)}, {'product_id': np.int64(287), 'quantity': 4, 'unit_price': np.float64(577.01), 'item_total': np.float64(2308.04)}]"
20,280,2025-05-30 11:49:09.952694,9585.92,Pending,"[{'product_id': np.int64(386), 'quantity': 2, 'unit_price': np.float64(677.38), 'item_total': np.float64(1354.76)}, {'product_id': np.int64(412), 'quantity': 8, 'unit_price': np.float64(983.28), 'item_total': np.float64(7866.24)}, {'product_id': np.int64(497), 'quantity': 2, 'unit_price': np.float64(182.46), 'item_total': np.float64(364.92)}]"
21,293,2025-04-19 11:49:09.953807,11932.58,Completed,"[{'product_id': np.int64(294), 'quantity': 8, 'unit_price': np.float64(398.77), 'item_total': np.float64(3190.16)}, {'product_id': np.int64(237), 'quantity': 5, 'unit_price': np.float64(617.97), 'item_total': np.float64(3089.8500000000004)}, {'product_id': np.int64(297), 'quantity': 2, 'unit_price': np.float64(796.65), 'item_total': np.float64(1593.3)}, {'product_id': np.int64(26), 'quantity': 9, 'unit_price': np.float64(451.03), 'item_total': np.float64(4059.2699999999995)}]"
22,653,2025-03-20 11:49:09.955715,6869.3,Completed,"[{'product_id': np.int64(449), 'quantity': 7, 'unit_price': np.float64(131.3), 'item_total': np.float64(919.1000000000001)}, {'product_id': np.int64(126), 'quantity': 6, 'unit_price': np.float64(531.19), 'item_total': np.float64(3187.1400000000003)}, {'product_id': np.int64(390), 'quantity': 3, 'unit_price': np.float64(921.02), 'item_total': np.float64(2763.06)}]"
23,484,2025-07-11 11:49:09.956811,12782.5,Pending,"[{'product_id': np.int64(123), 'quantity': 8, 'unit_price': np.float64(436.27), 'item_total': np.float64(3490.16)}, {'product_id': np.int64(448), 'quantity': 8, 'unit_price': np.float64(906.03), 'item_total': np.float64(7248.24)}, {'product_id': np.int64(298), 'quantity': 5, 'unit_price': np.float64(408.82), 'item_total': np.float64(2044.1)}]"
24,453,2025-01-30 11:49:09.958806,6648.28,Pending,"[{'product_id': np.int64(261), 'quantity': 1, 'unit_price': np.float64(952.32), 'item_total': np.float64(952.32)}, {'product_id': np.int64(291), 'quantity': 3, 'unit_price': np.float64(135.62), 'item_total': np.float64(406.86)}, {'product_id': np.int64(50), 'quantity': 2, 'unit_price': np.float64(425.05), 'item_total': np.float64(850.1)}, {'product_id': np.int64(177), 'quantity': 2, 'unit_price': np.float64(386.92), 'item_total': np.float64(773.84)}, {'product_id': np.int64(346), 'quantity': 6, 'unit_price': np.float64(610.86), 'item_total': np.float64(3665.16)}]"
25,742,2025-04-03 11:49:09.960805,15015.61,Cancelled,"[{'product_id': np.int64(414), 'quantity': 4, 'unit_price': np.float64(714.54), 'item_total': np.float64(2858.16)}, {'product_id': np.int64(84), 'quantity': 9, 'unit_price': np.float64(484.6), 'item_total': np.float64(4361.400000000001)}, {'product_id': np.int64(263), 'quantity': 1, 'unit_price': np.float64(510.38), 'item_total': np.float64(510.38)}, {'product_id': np.int64(262), 'quantity': 7, 'unit_price': np.float64(203.18), 'item_total': np.float64(1422.26)}, {'product_id': np.int64(230), 'quantity': 9, 'unit_price': np.float64(651.49), 'item_total': np.float64(5863.41)}]"
26,663,2025-09-24 11:49:09.961806,15855.58,Pending,"[{'product_id': np.int64(263), 'quantity': 10, 'unit_price': np.float64(510.38), 'item_total': np.float64(5103.8)}, {'product_id': np.int64(134), 'quantity': 4, 'unit_price': np.float64(65.55), 'item_total': np.float64(262.2)}, {'product_id': np.int64(40), 'quantity': 8, 'unit_price': np.float64(875.81), 'item_total': np.float64(7006.48)}, {'product_id': np.int64(498), 'quantity': 5, 'unit_price': np.float64(696.62), 'item_total': np.float64(3483.1)}]"
27,846,2025-01-15 11:49:09.961806,8336.97,Cancelled,"[{'product_id': np.int64(142), 'quantity': 9, 'unit_price': np.float64(926.33), 'item_total': np.float64(8336.970000000001)}]"
28,835,2025-08-10 11:49:09.964715,12776.69,Completed,"[{'product_id': np.int64(308), 'quantity': 10, 'unit_price': np.float64(551.84), 'item_total': np.float64(5518.400000000001)}, {'product_id': np.int64(339), 'quantity': 3, 'unit_price': np.float64(390.19), 'item_total': np.float64(1170.57)}, {'product_id': np.int64(321), 'quantity': 2, 'unit_price': np.float64(434.94), 'item_total': np.float64(869.88)}, {'product_id': np.int64(8), 'quantity': 8, 'unit_price': np.float64(411.36), 'item_total': np.float64(3290.88)}, {'product_id': np.int64(10), 'quantity': 3, 'unit_price': np.float64(642.32), 'item_total': np.float64(1926.96)}]"
29,269,2025-04-01 11:49:09.965711,1840.62,Completed,"[{'product_id': np.int64(475), 'quantity': 3, 'unit_price': np.float64(361.26), 'item_total': np.float64(1083.78)}, {'product_id': np.int64(56), 'quantity': 1, 'unit_price': np.float64(756.84), 'item_total': np.float64(756.84)}]"
30,939,2025-05-24 11:49:09.967712,13309.59,Cancelled,"[{'product_id': np.int64(472), 'quantity': 4, 'unit_price': np.float64(818.12), 'item_total': np.float64(3272.48)}, {'product_id': np.int64(19), 'quantity': 3, 'unit_price': np.float64(368.17), 'item_total': np.float64(1104.51)}, {'product_id': np.int64(220), 'quantity': 10, 'unit_price': np.float64(505.46), 'item_total': np.float64(5054.599999999999)}, {'product_id': np.int64(385), 'quantity': 5, 'unit_price': np.float64(775.6), 'item_total': np.float64(3878.0)}]"
31,789,2025-04-19 11:49:09.968714,549.3,Cancelled,"[{'product_id': np.int64(127), 'quantity': 2, 'unit_price': np.float64(274.65), 'item_total': np.float64(549.3)}]"
32,187,2025-03-14 11:49:09.970710,7939.33,Completed,"[{'product_id': np.int64(175), 'quantity': 9, 'unit_price': np.float64(727.6), 'item_total': np.float64(6548.400000000001)}, {'product_id': np.int64(215), 'quantity': 6, 'unit_price': np.float64(20.44), 'item_total': np.float64(122.64000000000001)}, {'product_id': np.int64(429), 'quantity': 5, 'unit_price': np.float64(129.53), 'item_total': np.float64(647.65)}, {'product_id': np.int64(488), 'quantity': 9, 'unit_price': np.float64(68.96), 'item_total': np.float64(620.64)}]"
33,811,2025-08-19 11:49:09.973810,15274.72,Completed,"[{'product_id': np.int64(427), 'quantity': 10, 'unit_price': np.float64(117.88), 'item_total': np.float64(1178.8)}, {'product_id': np.int64(363), 'quantity': 9, 'unit_price': np.float64(92.76), 'item_total': np.float64(834.84)}, {'product_id': np.int64(288), 'quantity': 7, 'unit_price': np.float64(985.63), 'item_total': np.float64(6899.41)}, {'product_id': np.int64(348), 'quantity': 2, 'unit_price': np.float64(785.96), 'item_total': np.float64(1571.92)}, {'product_id': np.int64(367), 'quantity': 7, 'unit_price': np.float64(684.25), 'item_total': np.float64(4789.75)}]"
34,797,2025-09-13 11:49:09.975812,20946.04,Pending,"[{'product_id': np.int64(244), 'quantity': 10, 'unit_price': np.float64(864.01), 'item_total': np.float64(8640.1)}, {'product_id': np.int64(202), 'quantity': 10, 'unit_price': np.float64(309.8), 'item_total': np.float64(3098.0)}, {'product_id': np.int64(436), 'quantity': 2, 'unit_price': np.float64(402.28), 'item_total': np.float64(804.56)}, {'product_id': np.int64(301), 'quantity': 2, 'unit_price': np.float64(586.14), 'item_total': np.float64(1172.28)}, {'product_id': np.int64(108), 'quantity': 10, 'unit_price': np.float64(723.11), 'item_total': np.float64(7231.1)}]"
35,860,2025-01-15 11:49:09.976715,9513.87,Cancelled,"[{'product_id': np.int64(297), 'quantity': 6, 'unit_price': np.float64(796.65), 'item_total': np.float64(4779.9)}, {'product_id': np.int64(113), 'quantity': 7, 'unit_price': np.float64(146.12), 'item_total': np.float64(1022.84)}, {'product_id': np.int64(456), 'quantity': 5, 'unit_price': np.float64(617.97), 'item_total': np.float64(3089.8500000000004)}, {'product_id': np.int64(371), 'quantity': 7, 'unit_price': np.float64(64.48), 'item_total': np.float64(451.36)}, {'product_id': np.int64(374), 'quantity': 8, 'unit_price': np.float64(21.24), 'item_total': np.float64(169.92)}]"
36,2,2025-08-22 11:49:09.978764,3482.26,Cancelled,"[{'product_id': np.int64(222), 'quantity': 1, 'unit_price': np.float64(921.34), 'item_total': np.float64(921.34)}, {'product_id': np.int64(382), 'quantity': 3, 'unit_price': np.float64(501.19), 'item_total': np.float64(1503.57)}, {'product_id': np.int64(204), 'quantity': 5, 'unit_price': np.float64(83.23), 'item_total': np.float64(416.15000000000003)}, {'product_id': np.int64(318), 'quantity': 7, 'unit_price': np.float64(91.6), 'item_total': np.float64(641.1999999999999)}]"
37,176,2025-10-09 11:49:09.979813,9962.79,Cancelled,"[{'product_id': np.int64(55), 'quantity': 7, 'unit_price': np.float64(444.57), 'item_total': np.float64(3111.99)}, {'product_id': np.int64(304), 'quantity': 1, 'unit_price': np.float64(851.61), 'item_total': np.float64(851.61)}, {'product_id': np.int64(54), 'quantity': 7, 'unit_price': np.float64(252.29), 'item_total': np.float64(1766.03)}, {'product_id': np.int64(371), 'quantity': 6, 'unit_price': np.float64(64.48), 'item_total': np.float64(386.88)}, {'product_id': np.int64(413), 'quantity': 4, 'unit_price': np.float64(961.57), 'item_total': np.float64(3846.28)}]"
38,396,2025-06-01 11:49:09.981713,6842.24,Pending,"[{'product_id': np.int64(472), 'quantity': 5, 'unit_price': np.float64(818.12), 'item_total': np.float64(4090.6)}, {'product_id': np.int64(101), 'quantity': 6, 'unit_price': np.float64(336.57), 'item_total': np.float64(2019.42)}, {'product_id': np.int64(373), 'quantity': 1, 'unit_price': np.float64(22.54), 'item_total': np.float64(22.54)}, {'product_id': np.int64(210), 'quantity': 6, 'unit_price': np.float64(118.28), 'item_total': np.float64(709.6800000000001)}]"
39,218,2025-08-27 11:49:09.983805,3476.2,Pending,"[{'product_id': np.int64(427), 'quantity': 8, 'unit_price': np.float64(117.88), 'item_total': np.float64(943.04)}, {'product_id': np.int64(110), 'quantity': 2, 'unit_price': np.float64(957.66), 'item_total': np.float64(1915.32)}, {'product_id': np.int64(98), 'quantity': 4, 'unit_price': np.float64(154.46), 'item_total': np.float64(617.84)}]"
40,684,2024-12-08 11:49:09.985808,15911.23,Completed,"[{'product_id': np.int64(371), 'quantity': 6, 'unit_price': np.float64(64.48), 'item_total': np.float64(386.88)}, {'product_id': np.int64(70), 'quantity': 5, 'unit_price': np.float64(382.7), 'item_total': np.float64(1913.5)}, {'product_id': np.int64(68), 'quantity': 7, 'unit_price': np.float64(787.95), 'item_total': np.float64(5515.650000000001)}, {'product_id': np.int64(432), 'quantity': 10, 'unit_price': np.float64(809.52), 'item_total': np.float64(8095.2)}]"
41,91,2025-04-09 11:49:09.986809,8849.2,Cancelled,"[{'product_id': np.int64(140), 'quantity': 8, 'unit_price': np.float64(888.68), 'item_total': np.float64(7109.44)}, {'product_id': np.int64(321), 'quantity': 4, 'unit_price': np.float64(434.94), 'item_total': np.float64(1739.76)}]"
42,269,2025-08-14 11:49:09.987794,15018.21,Completed,"[{'product_id': np.int64(223), 'quantity': 9, 'unit_price': np.float64(833.0), 'item_total': np.float64(7497.0)}, {'product_id': np.int64(82), 'quantity': 6, 'unit_price': np.float64(196.28), 'item_total': np.float64(1177.68)}, {'product_id': np.int64(128), 'quantity': 1, 'unit_price': np.float64(379.32), 'item_total': np.float64(379.32)}, {'product_id': np.int64(118), 'quantity': 9, 'unit_price': np.float64(662.69), 'item_total': np.float64(5964.210000000001)}]"
43,244,2025-02-08 11:49:09.988812,12382.86,Cancelled,"[{'product_id': np.int64(420), 'quantity': 9, 'unit_price': np.float64(595.98), 'item_total': np.float64(5363.82)}, {'product_id': np.int64(64), 'quantity': 7, 'unit_price': np.float64(880.92), 'item_total': np.float64(6166.44)}, {'product_id': np.int64(341), 'quantity': 3, 'unit_price': np.float64(284.2), 'item_total': np.float64(852.5999999999999)}]"
44,201,2025-07-28 11:49:09.988812,2400.21,Completed,"[{'product_id': np.int64(162), 'quantity': 3, 'unit_price': np.float64(800.07), 'item_total': np.float64(2400.21)}]"
45,509,2025-10-18 11:49:09.989808,2062.28,Pending,"[{'product_id': np.int64(216), 'quantity': 4, 'unit_price': np.float64(515.57), 'item_total': np.float64(2062.28)}]"
46,211,2024-11-08 11:49:09.989808,4905.78,Completed,"[{'product_id': np.int64(58), 'quantity': 6, 'unit_price': np.float64(817.63), 'item_total': np.float64(4905.78)}]"
47,522,2025-04-14 11:49:09.990803,17224.25,Cancelled,"[{'product_id': np.int64(83), 'quantity': 6, 'unit_price': np.float64(727.06), 'item_total': np.float64(4362.36)}, {'product_id': np.int64(198), 'quantity': 8, 'unit_price': np.float64(953.47), 'item_total': np.float64(7627.76)}, {'product_id': np.int64(241), 'quantity': 9, 'unit_price': np.float64(581.57), 'item_total': np.float64(5234.13)}]"
48,25,2025-07-03 11:49:09.991806,676.59,Pending,"[{'product_id': np.int64(396), 'quantity': 1, 'unit_price': np.float64(676.59), 'item_total': np.float64(676.59)}]"
49,944,2025-01-07 11:49:09.992811,19319.29,Cancelled,"[{'product_id': np.int64(276), 'quantity': 10, 'unit_price': np.float64(753.83), 'item_total': np.float64(7538.3)}, {'product_id': np.int64(122), 'quantity': 8, 'unit_price': np.float64(507.19), 'item_total': np.float64(4057.52)}, {'product_id': np.int64(310), 'quantity': 3, 'unit_price': np.float64(895.21), 'item_total': np.float64(2685.63)}, {'product_id': np.int64(65), 'quantity': 8, 'unit_price': np.float64(629.73), 'item_total': np.float64(5037.84)}]"
50,299,2024-11-16 11:49:09.993809,4955.9,Completed,"[{'product_id': np.int64(486), 'quantity': 6, 'unit_price': np.float64(209.45), 'item_total': np.float64(1256.6999999999998)}, {'product_id': np.int64(18), 'quantity': 3, 'unit_price': np.float64(530.25), 'item_total': np.float64(1590.75)}, {'product_id': np.int64(14), 'quantity': 5, 'unit_price': np.float64(421.69), 'item_total': np.float64(2108.45)}]"
51,731,2025-08-12 11:49:09.994814,2799.53,Cancelled,"[{'product_id': np.int64(152), 'quantity': 1, 'unit_price': np.float64(87.64), 'item_total': np.float64(87.64)}, {'product_id': np.int64(379), 'quantity': 7, 'unit_price': np.float64(341.66), 'item_total': np.float64(2391.6200000000003)}, {'product_id': np.int64(245), 'quantity': 1, 'unit_price': np.float64(320.27), 'item_total': np.float64(320.27)}]"
52,14,2024-11-22 11:49:09.995807,5848.24,Completed,"[{'product_id': np.int64(412), 'quantity': 4, 'unit_price': np.float64(983.28), 'item_total': np.float64(3933.12)}, {'product_id': np.int64(71), 'quantity': 4, 'unit_price': np.float64(478.78), 'item_total': np.float64(1915.12)}]"
53,707,2024-11-19 11:49:09.997714,5909.7,Completed,"[{'product_id': np.int64(243), 'quantity': 7, 'unit_price': np.float64(462.97), 'item_total': np.float64(3240.79)}, {'product_id': np.int64(262), 'quantity': 9, 'unit_price': np.float64(203.18), 'item_total': np.float64(1828.6200000000001)}, {'product_id': np.int64(154), 'quantity': 1, 'unit_price': np.float64(840.29), 'item_total': np.float64(840.29)}]"
54,807,2025-07-12 11:49:09.999802,11521.61,Pending,"[{'product_id': np.int64(140), 'quantity': 3, 'unit_price': np.float64(888.68), 'item_total': np.float64(2666.04)}, {'product_id': np.int64(4), 'quantity': 3, 'unit_price': np.float64(308.93), 'item_total': np.float64(926.79)}, {'product_id': np.int64(225), 'quantity': 10, 'unit_price': np.float64(786.43), 'item_total': np.float64(7864.299999999999)}, {'product_id': np.int64(371), 'quantity': 1, 'unit_price': np.float64(64.48), 'item_total': np.float64(64.48)}]"
55,993,2025-03-13 11:49:10.001714,16630.68,Pending,"[{'product_id': np.int64(493), 'quantity': 5, 'unit_price': np.float64(110.02), 'item_total': np.float64(550.1)}, {'product_id': np.int64(394), 'quantity': 5, 'unit_price': np.float64(326.74), 'item_total': np.float64(1633.7)}, {'product_id': np.int64(65), 'quantity': 7, 'unit_price': np.float64(629.73), 'item_total': np.float64(4408.110000000001)}, {'product_id': np.int64(107), 'quantity': 7, 'unit_price': np.float64(797.03), 'item_total': np.float64(5579.21)}, {'product_id': np.int64(392), 'quantity': 6, 'unit_price': np.float64(743.26), 'item_total': np.float64(4459.5599999999995)}]"
56,262,2024-11-22 11:49:10.002714,5822.71,Cancelled,"[{'product_id': np.int64(135), 'quantity': 8, 'unit_price': np.float64(179.67), 'item_total': np.float64(1437.36)}, {'product_id': np.int64(345), 'quantity': 5, 'unit_price': np.float64(877.07), 'item_total': np.float64(4385.35)}]"
57,632,2024-11-29 11:49:10.005814,7019.72,Pending,"[{'product_id': np.int64(85), 'quantity': 7, 'unit_price': np.float64(310.16), 'item_total': np.float64(2171.1200000000003)}, {'product_id': np.int64(19), 'quantity': 10, 'unit_price': np.float64(368.17), 'item_total': np.float64(3681.7000000000003)}, {'product_id': np.int64(43), 'quantity': 2, 'unit_price': np.float64(136.07), 'item_total': np.float64(272.14)}, {'product_id': np.int64(411), 'quantity': 1, 'unit_price': np.float64(314.44), 'item_total': np.float64(314.44)}, {'product_id': np.int64(371), 'quantity': 9, 'unit_price': np.float64(64.48), 'item_total': np.float64(580.32)}]"
58,892,2025-03-02 11:49:10.007806,19448.46,Completed,"[{'product_id': np.int64(209), 'quantity': 10, 'unit_price': np.float64(597.88), 'item_total': np.float64(5978.8)}, {'product_id': np.int64(201), 'quantity': 10, 'unit_price': np.float64(676.25), 'item_total': np.float64(6762.5)}, {'product_id': np.int64(437), 'quantity': 5, 'unit_price': np.float64(305.85), 'item_total': np.float64(1529.25)}, {'product_id': np.int64(99), 'quantity': 5, 'unit_price': np.float64(935.41), 'item_total': np.float64(4677.05)}, {'product_id': np.int64(76), 'quantity': 2, 'unit_price': np.float64(250.43), 'item_total': np.float64(500.86)}]"
59,999,2025-06-23 11:49:10.008765,7195.26,Cancelled,"[{'product_id': np.int64(148), 'quantity': 5, 'unit_price': np.float64(568.32), 'item_total': np.float64(2841.6000000000004)}, {'product_id': np.int64(500), 'quantity': 6, 'unit_price': np.float64(593.06), 'item_total': np.float64(3558.3599999999997)}, {'product_id': np.int64(406), 'quantity': 5, 'unit_price': np.float64(159.06), 'item_total': np.float64(795.3)}]"
60,369,2025-07-03 11:49:10.015717,8592.61,Completed,"[{'product_id': np.int64(254), 'quantity': 4, 'unit_price': np.float64(600.46), 'item_total': np.float64(2401.84)}, {'product_id': np.int64(496), 'quantity': 3, 'unit_price': np.float64(961.06), 'item_total': np.float64(2883.18)}, {'product_id': np.int64(181), 'quantity': 9, 'unit_price': np.float64(367.51), 'item_total': np.float64(3307.59)}]"
61,450,2025-06-05 11:49:10.020715,14358.92,Pending,"[{'product_id': np.int64(187), 'quantity': 7, 'unit_price': np.float64(341.39), 'item_total': np.float64(2389.73)}, {'product_id': np.int64(303), 'quantity': 6, 'unit_price': np.float64(638.49), 'item_total': np.float64(3830.94)}, {'product_id': np.int64(337), 'quantity': 3, 'unit_price': np.float64(95.82), 'item_total': np.float64(287.46)}, {'product_id': np.int64(181), 'quantity': 1, 'unit_price': np.float64(367.51), 'item_total': np.float64(367.51)}, {'product_id': np.int64(99), 'quantity': 8, 'unit_price': np.float64(935.41), 'item_total': np.float64(7483.28)}]"
62,18,2024-11-06 11:49:10.024714,20027.04,Cancelled,"[{'product_id': np.int64(460), 'quantity': 7, 'unit_price': np.float64(425.04), 'item_total': np.float64(2975.28)}, {'product_id': np.int64(231), 'quantity': 7, 'unit_price': np.float64(930.62), 'item_total': np.float64(6514.34)}, {'product_id': np.int64(208), 'quantity': 1, 'unit_price': np.float64(704.62), 'item_total': np.float64(704.62)}, {'product_id': np.int64(412), 'quantity': 10, 'unit_price': np.float64(983.28), 'item_total': np.float64(9832.8)}]"
63,784,2024-11-17 11:49:10.028713,7771.86,Cancelled,"[{'product_id': np.int64(24), 'quantity': 6, 'unit_price': np.float64(683.49), 'item_total': np.float64(4100.9400000000005)}, {'product_id': np.int64(109), 'quantity': 4, 'unit_price': np.float64(917.73), 'item_total': np.float64(3670.92)}]"
